Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Drummond, Andre -- DET","Westbrook, Russell -- OKC","Curry, Stephen -- GS","James, LeBron -- CLE","Green, Draymond -- GS","Horford, Al -- ATL","Paul, Chris -- LAC","Lowry, Kyle -- TOR","Aldridge, LaMarcus -- SA","George, Paul -- IND","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Thompson, Klay -- GS",2015
Jeff Turner,Fox Sports Florida,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Towns, Karl-Anthony -- MIN","Paul, Chris -- LAC","Lillard, Damian -- POR","Aldridge, LaMarcus -- SA","George, Paul -- IND","Drummond, Andre -- DET","Lowry, Kyle -- TOR","Thomas, Isaiah -- BOS",2015
Jeff Zillgitt,USA Today,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Aldridge, LaMarcus -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Lillard, Damian -- POR","George, Paul -- IND","Millsap, Paul -- ATL","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Thompson, Klay -- GS",2015
Jerry Zgoda,Minneapolis Star Tribune,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Paul, Chris -- LAC","Davis, Anthony -- NOP","George, Paul -- IND","Drummond, Andre -- DET","Lowry, Kyle -- TOR","Harden, James -- HOU",2015
Jessica Camerato,Comcast SportsNet,"James, LeBron -- CLE","Durant, Kevin -- OKC","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS","Drummond, Andre -- DET","Paul, Chris -- LAC","Lillard, Damian -- POR","George, Paul -- IND","Aldridge, LaMarcus -- SA","Cousins, DeMarcus -- SAC","Harden, James -- HOU","Lowry, Kyle -- TOR",2015
Jim Barnett,Comcast SportsNet Bay Area,"Durant, Kevin -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","James, LeBron -- CLE","Millsap, Paul -- ATL","George, Paul -- IND","Drummond, Andre -- DET","Westbrook, Russell -- OKC","Thompson, Klay -- GS","Griffin, Blake -- LAC","Nowitzki, Dirk -- DAL","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","DeRozan, DeMar -- TOR",2015
Jim Paschke,Fox Sports Wisconsin,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Paul, Chris -- LAC","Millsap, Paul -- ATL","George, Paul -- IND","Drummond, Andre -- DET","Harden, James -- HOU","Lillard, Damian -- POR",2015
Jim Petersen,Fox Sports North,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","Green, Draymond -- GS","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Paul, Chris -- LAC","George, Paul -- IND","Aldridge, LaMarcus -- SA","Towns, Karl-Anthony -- MIN","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
Jody Genessy,Deseret News,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Drummond, Andre -- DET","Paul, Chris -- LAC","Lowry, Kyle -- TOR","Millsap, Paul -- ATL","Davis, Anthony -- NOP","Horford, Al -- ATL","Lillard, Damian -- POR","Thompson, Klay -- GS",2015
Joe Freeman,The Oregonian,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Horford, Al -- ATL","Paul, Chris -- LAC","Lillard, Damian -- POR","Millsap, Paul -- ATL","George, Paul -- IND","Drummond, Andre -- DET","Lowry, Kyle -- TOR","Thompson, Klay -- GS",2015
Joel Meyers,Fox Sports New Orleans,"James, LeBron -- CLE","Durant, Kevin -- OKC","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Millsap, Paul -- ATL","Cousins, DeMarcus -- SAC","Paul, Chris -- LAC","Lillard, Damian -- POR","Davis, Anthony -- NOP","George, Paul -- IND","Whiteside, Hassan -- MIA","Lowry, Kyle -- TOR","Thompson, Klay -- GS",2015
John Krawczynski,Associated Press,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Lowry, Kyle -- TOR","George, Paul -- IND","Millsap, Paul -- ATL","Towns, Karl-Anthony -- MIN","Lillard, Damian -- POR","Thompson, Klay -- GS",2015
Jon Barry,ESPN Radio,"James, LeBron -- CLE","Durant, Kevin -- OKC","Aldridge, LaMarcus -- SA","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Thompson, Klay -- GS","Anthony, Carmelo -- NYK","George, Paul -- IND","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Harden, James -- HOU",2015
Jonathan Feigen,Houston Chronicle,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Millsap, Paul -- ATL","Jordan, DeAndre -- LAC","Harden, James -- HOU","Paul, Chris -- LAC","George, Paul -- IND","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Lillard, Damian -- POR",2015
