Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Joe Freeman,The Oregonian,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Wall, John (Was.)","Lillard, Damian (Por.)",2016,All-NBA
Joe Vardon,Cleveland.com,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","George, Paul (Ind.)","Gasol, Marc (Mem.)","Irving, Kyrie (Cle.)","Curry, Stephen (G.S.)","Butler, Jimmy (Chi.)","Green, Draymond (G.S.)","Jordan, DeAndre (LA-C)","Thompson, Klay (G.S.)","Thomas, Isaiah (Bos.)",2016,All-NBA
John Schuhmann,NBA.com,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Hayward, Gordon (Utah)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Wall, John (Was.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Jordan, DeAndre (LA-C)","Paul, Chris (LA-C)","Thomas, Isaiah (Bos.)",2016,All-NBA
Jon Barry,ESPN Radio,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Towns, Karl-Anthony (Min.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Green, Draymond (G.S.)","Davis, Anthony (N.O.)","Cousins, DeMarcus (N.O.)","Wall, John (Was.)","Thompson, Klay (G.S.)",2016,All-NBA
Jon Krawczynski,Associated Press,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Wall, John (Was.)","Green, Draymond (G.S.)","Durant, Kevin (G.S.)","Towns, Karl-Anthony (Min.)","Thomas, Isaiah (Bos.)","Lillard, Damian (Por.)",2016,All-NBA
Justin Termine,Sirius XM,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Butler, Jimmy (Chi.)","Green, Draymond (G.S.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2016,All-NBA
Justin Verrier,ESPN.com,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Thomas, Isaiah (Bos.)","Wall, John (Was.)",2016,All-NBA
KC Johnson,Chicago Tribune,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Wall, John (Was.)","Butler, Jimmy (Chi.)","Green, Draymond (G.S.)","Gasol, Marc (Mem.)","Thomas, Isaiah (Bos.)","DeRozan, DeMar (Tor.)",2016,All-NBA
Keith Pompey,Philadelphia Inquirer,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Butler, Jimmy (Chi.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Green, Draymond (G.S.)","Antetokounmpo, Giannis (Mil.)","Gasol, Marc (Mem.)","Wall, John (Was.)","Paul, Chris (LA-C)",2016,All-NBA
Kevin Arnovitz,ESPN.com,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Curry, Stephen (G.S.)","Hayward, Gordon (Utah)","Durant, Kevin (G.S.)","Gasol, Marc (Mem.)","Wall, John (Was.)","Thomas, Isaiah (Bos.)",2016,All-NBA
Kevin Ding,Bleacher Report,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Curry, Stephen (G.S.)","Butler, Jimmy (Chi.)","Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Thomas, Isaiah (Bos.)","Thompson, Klay (G.S.)",2016,All-NBA
