Voter,Affiliation,1st,2nd,3rd,Year
Stephanie Ready,Fox Sports Carolinas/SportSouth,"Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC","Williams, Lou -- TOR",2014
Steve Albert,Fox Sports Arizona,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Speights, Marreese -- GS",2014
Steve Aschburner,NBA.com,"Williams, Lou -- TOR","Thompson, Tristan -- CLE","Iguodala, Andre -- GS",2014
Steve Buckhantz,Comcast SportsNet Mid-Atlantic,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Steve Holman,Hawks Radio Network,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Ted Davis,WTMJ Radio,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Thomas, Isaiah -- BOS",2014
Tim Bontemps,New York Post,"Iguodala, Andre -- GS","Ginobili, Manu -- SA","Williams, Lou -- TOR",2014
Tim Kempton,KTAR Radio,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Speights, Marreese -- GS",2014
Tim Roye,KNBR Radio,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Tom Heinsohn,Comcast SportsNet,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Iguodala, Andre -- GS",2014
Tony Fiorentino,Sun Sports,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Thompson, Tristan -- CLE",2014
Vince Ellis,Detroit Free Press,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Zach Lowe,Grantland,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Iguodala, Andre -- GS",2014
