Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Bill Reiter,CBSSports.com,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)",2021,All-Defensive
Tim Reynolds,Associated Press,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","McConnell, T.J. (IND)","Murray, Dejounte (SAS)",2021,All-Defensive
Melissa Rohlin,Fox Sports,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2021,All-Defensive
Taylor Rooks,Bleacher Report,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defensive
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Mitchell, Donovan (UTA)",2021,All-Defensive
Simone Sandri,Gazzetta.it,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Turner, Myles (IND)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defensive
Omari Sankofa,Detroit Free Press,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defensive
John Schuhmann,NBA.com,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","George, Paul (LAC)",2021,All-Defensive
Guillermo Schutz,Televisa (TUDN),"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Turner, Myles (IND)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2021,All-Defensive
Dennis Scott,Turner,"Green, Draymond (GSW)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)","Davis, Anthony (LAL)","Capela, Clint (ATL)","McConnell, T.J. (IND)","Butler, Jimmy (MIA)",2021,All-Defensive
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Caruso, Alex (LAL)",2021,All-Defensive
