Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Mike Breen,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Lopez, Brook (MIL)","Beverley, Patrick (LAC)","Holiday, Jrue (NOP)",2019
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Adebayo, Bam (MIA)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2019
Ric Bucher,Bleacher Report,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Lopez, Brook (MIL)","George, Paul (LAC)","Holiday, Jrue (NOP)",2019
Doris Burke,ESPN,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Bledsoe, Eric (MIL)",2019
Shams Charania,The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Beverley, Patrick (LAC)","Holiday, Jrue (NOP)",2019
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)",2019
Davide Chinellato,La Gazzetta dello Sport,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)",2019
Joe Cowley,Chicago Sun-Times,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Dunn, Kris (CHI)",2019
Antoni Daimiel,Movistar+,"Davis, Anthony (LAL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Lowry, Kyle (TOR)","Paul, Chris (OKC)","Brown, Jaylen (BOS)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)",2019
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Dunn, Kris (CHI)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)",2019
